player,position,team,week,year,passing_td,passing_yd,perc_throws,rushing_td,rushing_yd,rec_td,rec_yd,receptions,fgmd,fgyd,perc_fg,tackles,sacks,ints
L.Fitzgerald,WR,ARI,17,2010,0,0,0,0,0,1,125,11,0,0,0,0,0,0
R.Gronkowski,TE,NE,17,2010,0,0,0,0,0,1,102,6,0,0,0,0,0,0
A.Vinatieri,K,IND,17,2010,0,0,0,0,0,0,0,0,3,48,100,0,0,0
D.Ware,OLB,DAL,17,2010,0,0,0,0,0,0,0,0,0,0,0,4,3,0
T.Brady,QB,OAK,1,2011,4,517,66.66666667,0,0,0,0,0,0,0,0,0,0,0
R.Bush,RB,MIA,1,2011,0,0,0,0,38,0,0,0,0,0,0,0,0,0
S.Smith,WR,CAR,1,2011,0,0,0,0,0,2,178,8,0,0,0,0,0,0
R.Gronkowski,TE,NE,1,2011,0,0,0,0,0,1,86,6,0,0,0,0,0,0
S.Janikowski,K,OAK,1,2011,0,0,0,0,0,0,0,0,3,63,100,0,0,0
H.Ngata,DT,BAL,1,2011,0,0,0,0,0,0,0,0,0,0,0,2,0,0
T.Brady,QB,STL,2,2011,3,423,77.5,0,0,0,0,0,0,0,0,0,0,0
M.Forte,RB,CHI,2,2011,0,0,0,0,49,0,0,0,0,0,0,0,0,0
J.Maclin,WR,PHI,2,2011,0,0,0,0,0,2,171,13,0,0,0,0,0,0
R.Gronkowski,TE,NE,2,2011,0,0,0,0,0,2,86,4,0,0,0,0,0,0
A.Vinatieri,K,IND,2,2011,0,0,0,0,0,0,0,0,4,52,100,0,0,0
J.Sheard,DE,CLE,2,2011,0,0,0,0,0,0,0,0,0,0,0,4,1,0
J.Flacco,QB,WAS,3,2011,3,389,56.25,0,0,0,0,0,0,0,0,0,0,0
R.Mathews,RB,SD,3,2011,0,0,0,2,98,0,0,0,0,0,0,0,0,0
T.Smith,WR,BAL,3,2011,0,0,0,0,0,3,152,5,0,0,0,0,0,0
R.Gronkowski,TE,NE,3,2011,0,0,0,0,0,2,109,7,0,0,0,0,0,0
D.Bailey,K,DAL,3,2011,0,0,0,0,0,0,0,0,6,41,100,0,0,0
D.Jackson,ILB,CLE,3,2011,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0
A.Rodgers,QB,IND,4,2011,4,408,76.31578947,0,0,0,0,0,0,0,0,0,0,0
M.Forte,RB,CHI,4,2011,0,0,0,1,205,0,0,0,0,0,0,0,0,0
P.Garcon,WR,IND,4,2011,0,0,0,0,0,2,146,2,0,0,0,0,0,0
J.Graham,TE,NO,4,2011,0,0,0,0,0,1,132,10,0,0,0,0,0,0
R.Succop,K,KC,4,2011,0,0,0,0,0,0,0,0,5,54,100,0,0,0
M.Bennett,DE,TB,4,2011,0,0,0,0,0,0,0,0,0,0,0,4,2,0
B.Roethlisberger,QB,CHI,5,2011,5,228,70.58823529,0,0,0,0,0,0,0,0,0,0,0
A.Foster,RB,HOU,5,2011,0,0,0,0,68,0,0,0,0,0,0,0,0,0
P.Garcon,WR,IND,5,2011,0,0,0,0,0,2,125,5,0,0,0,0,0,0
J.Graham,TE,NO,5,2011,0,0,0,0,0,0,129,8,0,0,0,0,0,0
N.Novak,K,SD,5,2011,0,0,0,0,0,0,0,0,5,51,100,0,0,0
J.Byrd,FS,BUF,5,2011,0,0,0,0,0,0,0,0,0,0,0,8,0,0
A.Rodgers,QB,MIA,6,2011,3,310,60.71428571,0,0,0,0,0,0,0,0,0,0,0
M.Forte,RB,CHI,6,2011,0,0,0,0,87,0,0,0,0,0,0,0,0,0
A.Boldin,WR,BAL,6,2011,0,0,0,0,0,0,132,8,0,0,0,0,0,0
J.Graham,TE,NO,6,2011,0,0,0,0,0,0,124,7,0,0,0,0,0,0
C.Barth,K,TB,6,2011,0,0,0,0,0,0,0,0,4,48,80,0,0,0
K.Coleman,FS,PHI,6,2011,0,0,0,0,0,0,0,0,0,0,0,5,0,3
D.Brees,QB,BAL,7,2011,5,325,88.57142857,0,0,0,0,0,0,0,0,0,0,0
A.Foster,RB,HOU,7,2011,0,0,0,2,115,0,0,0,0,0,0,0,0,0
S.Smith,WR,CAR,7,2011,0,0,0,0,0,0,143,7,0,0,0,0,0,0
J.Graham,TE,NO,7,2011,0,0,0,0,0,2,54,6,0,0,0,0,0,0
M.Crosby,K,GB,7,2011,0,0,0,0,0,0,0,0,4,58,100,0,0,0
D.Johnson,ILB,KC,7,2011,0,0,0,0,0,0,0,0,0,0,0,12,0,0
C.McCoy,QB,SD,8,2011,1,241,64.70588235,0,0,0,0,0,0,0,0,0,0,0
A.Peterson,RB,MIN,8,2011,0,0,0,1,86,0,0,0,0,0,0,0,0,0
S.Smith,WR,CAR,8,2011,0,0,0,0,0,1,100,7,0,0,0,0,0,0
B.Celek,TE,PHI,8,2011,0,0,0,0,0,1,94,7,0,0,0,0,0,0
N.Novak,K,SD,8,2011,0,0,0,0,0,0,0,0,4,44,80,0,0,0
D.Ware,OLB,DAL,8,2011,0,0,0,0,0,0,0,0,0,0,0,10,4,0
P.Rivers,QB,CHI,9,2011,4,385,56.52173913,0,0,0,0,0,0,0,0,0,0,0
D.Murray,RB,DAL,9,2011,0,0,0,0,139,0,0,0,0,0,0,0,0,0
V.Jackson,WR,SD,9,2011,0,0,0,0,0,3,141,7,0,0,0,0,0,0
R.Gronkowski,TE,NE,9,2011,0,0,0,0,0,1,101,8,0,0,0,0,0,0
D.Bailey,K,DAL,9,2011,0,0,0,0,0,0,0,0,3,42,100,0,0,0
J.Harrison,OLB,PIT,9,2011,0,0,0,0,0,0,0,0,0,0,0,8,3,0
A.Rodgers,QB,MIN,10,2011,4,250,76.66666667,0,0,0,0,0,0,0,0,0,0,0
D.Murray,RB,DAL,10,2011,0,0,0,1,135,0,0,0,0,0,0,0,0,0
L.Fitzgerald,WR,ARI,10,2011,0,0,0,0,0,2,146,7,0,0,0,0,0,0
R.Gronkowski,TE,NE,10,2011,0,0,0,0,0,2,113,8,0,0,0,0,0,0
S.Hauschka,K,SEA,10,2011,0,0,0,0,0,0,0,0,5,39,100,0,0,0
R.Kerrigan,OLB,WAS,10,2011,0,0,0,0,0,0,0,0,0,0,0,5,2,0
M.Stafford,QB,KC,11,2011,5,335,77.77777778,0,0,0,0,0,0,0,0,0,0,0
D.Murray,RB,DAL,11,2011,0,0,0,0,73,0,0,0,0,0,0,0,0,0
J.Nelson,WR,GB,11,2011,0,0,0,0,0,2,123,6,0,0,0,0,0,0
R.Gronkowski,TE,NE,11,2011,0,0,0,0,0,2,96,4,0,0,0,0,0,0
M.Bryant,K,ATL,11,2011,0,0,0,0,0,0,0,0,3,33,100,0,0,0
L.Webb,CB,BAL,11,2011,0,0,0,0,0,0,0,0,0,0,0,4,0,1
D.Brees,QB,NYG,12,2011,4,363,63.15789474,0,0,0,0,0,0,0,0,0,0,0
A.Foster,RB,HOU,12,2011,0,0,0,1,65,0,0,0,0,0,0,0,0,0
V.Cruz,WR,NYG,12,2011,0,0,0,0,0,2,157,9,0,0,0,0,0,0
J.Graham,TE,NO,12,2011,0,0,0,0,0,2,84,5,0,0,0,0,0,0
S.Janikowski,K,OAK,12,2011,0,0,0,0,0,0,0,0,6,47,100,0,0,0
C.Barwin,OLB,HOU,12,2011,0,0,0,0,0,0,0,0,0,0,0,7,4,0
A.Rodgers,QB,SD,13,2011,4,369,60.86956522,0,0,0,0,0,0,0,0,0,0,0
L.McCoy,RB,PHI,13,2011,0,0,0,1,84,0,0,0,0,0,0,0,0,0
P.Garcon,WR,IND,13,2011,0,0,0,0,0,2,150,9,0,0,0,0,0,0
R.Gronkowski,TE,NE,13,2011,0,0,0,0,0,2,64,5,0,0,0,0,0,0
G.Gano,K,WAS,13,2011,0,0,0,0,0,0,0,0,4,46,100,0,0,0
J.Houston,OLB,KC,13,2011,0,0,0,0,0,0,0,0,0,0,0,7,3,0
M.Ryan,QB,STL,14,2011,4,320,57.89473684,0,0,0,0,0,0,0,0,0,0,0
R.Mathews,RB,SD,14,2011,0,0,0,0,114,0,0,0,0,0,0,0,0,0
L.Fitzgerald,WR,ARI,14,2011,0,0,0,0,0,1,149,7,0,0,0,0,0,0
R.Gronkowski,TE,NE,14,2011,0,0,0,0,0,2,160,6,0,0,0,0,0,0
M.Crosby,K,GB,14,2011,0,0,0,0,0,0,0,0,4,49,100,0,0,0
C.Avril,DE,DET,14,2011,0,0,0,0,0,0,0,0,0,0,0,7,2,0
D.Brees,QB,PIT,15,2011,5,412,80,0,0,0,0,0,0,0,0,0,0,0
C.Spiller,RB,BUF,15,2011,0,0,0,1,91,0,0,0,0,0,0,0,0,0
D.Heyward-Bey,WR,OAK,15,2011,0,0,0,0,0,1,155,8,0,0,0,0,0,0
B.Celek,TE,PHI,15,2011,0,0,0,0,0,1,156,5,0,0,0,0,0,0
R.Succop,K,KC,15,2011,0,0,0,0,0,0,0,0,4,46,100,0,0,0
J.Pierre-Paul,DE,NYG,15,2011,0,0,0,0,0,0,0,0,0,0,0,11,1,0
A.Rodgers,QB,ATL,16,2011,5,283,72.4137931,0,0,0,0,0,0,0,0,0,0,0
R.Bush,RB,MIA,16,2011,0,0,0,0,113,0,0,0,0,0,0,0,0,0
J.Nelson,WR,GB,16,2011,0,0,0,0,0,2,115,6,0,0,0,0,0,0
J.Cook,TE,TEN,16,2011,0,0,0,0,0,1,169,8,0,0,0,0,0,0
A.Vinatieri,K,IND,16,2011,0,0,0,0,0,0,0,0,4,47,80,0,0,0
B.Cushing,ILB,HOU,16,2011,0,0,0,0,0,0,0,0,0,0,0,7,1,0
M.Stafford,QB,SEA,17,2011,5,520,61.01694915,0,0,0,0,0,0,0,0,0,0,0
C.Spiller,RB,BUF,17,2011,0,0,0,0,60,0,0,0,0,0,0,0,0,0
J.Nelson,WR,GB,17,2011,0,0,0,0,0,3,162,9,0,0,0,0,0,0
R.Gronkowski,TE,NE,17,2011,0,0,0,0,0,2,108,8,0,0,0,0,0,0
D.Carpenter,K,MIA,17,2011,0,0,0,0,0,0,0,0,4,58,100,0,0,0
J.Houston,OLB,KC,17,2011,0,0,0,0,0,0,0,0,0,0,0,6,1.5,0
R.Griffin,QB,SD,1,2012,2,320,73.07692308,0,0,0,0,0,0,0,0,0,0,0
L.McCoy,RB,PHI,1,2012,0,0,0,0,110,0,0,0,0,0,0,0,0,0
J.Jones,WR,ATL,1,2012,0,0,0,0,0,2,108,6,0,0,0,0,0,0
J.Graham,TE,NO,1,2012,0,0,0,0,0,1,85,6,0,0,0,0,0,0
B.Walsh,K,MIN,1,2012,0,0,0,0,0,0,0,0,4,55,100,0,0,0
S.Lee,OLB,DAL,1,2012,0,0,0,0,0,0,0,0,0,0,0,10,0,0
E.Manning,QB,DEN,2,2012,3,510,60.78431373,0,0,0,0,0,0,0,0,0,0,0
D.Sproles,RB,NO,2,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Amendola,WR,STL,2,2012,0,0,0,0,0,1,160,15,0,0,0,0,0,0
V.Davis,TE,SF,2,2012,0,0,0,0,0,2,73,5,0,0,0,0,0,0
S.Gostkowski,K,NE,2,2012,0,0,0,0,0,0,0,0,4,53,80,0,0,0
M.Foster,ILB,TB,2,2012,0,0,0,0,0,0,0,0,0,0,0,12,0,1
B.Roethlisberger,QB,GB,3,2012,4,384,73.46938776,0,0,0,0,0,0,0,0,0,0,0
J.Charles,RB,KC,3,2012,0,0,0,1,233,0,0,0,0,0,0,0,0,0
A.Green,WR,CIN,3,2012,0,0,0,0,0,1,183,9,0,0,0,0,0,0
