name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,year
E.Henderson,00-0022081,no,MIN,,34,1,3,1,65,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
R.Edwards,00-0024342,no,MIN,,9,0,0,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
J.Mitchell,00-0023893,no,MIN,,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
A.Allen,00-0027058,no,MIN,,14,0,2,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
C.Greenway,00-0024232,no,MIN,OLB,34,1,0,1,103,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
P.Williams,00-0017899,no,MIN,,9,1,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
H.Abdullah,00-0025940,no,MIN,,20,0,3,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
K.Williams,00-0022073,no,MIN,,12,1,0,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
A.Winfield,00-0018093,no,MIN,,17,1,2,2,69,0,0,0,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
L.Sheppard,00-0021157,no,MIN,,3,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
M.Williams,00-0022842,no,MIN,,24,1,1,0.5,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
B.Leber,00-0021197,no,MIN,,9,2,1,0,33,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
J.Allen,00-0022740,no,MIN,,13,1,2,9,43,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
J.Freeman,00-0026993,no,TB,,,,,,,3,4,7,4,0,,,,,,,,,,,,,,,454,278,6,23,1,0,3315,,,,,,,,,,,,,,,,,,63,214,0,0,2,1,349,2010
E.Graham,00-0021755,no,TB,,,,,,,1,0,1,1,0,,,,,,,,,,,,,,,1,1,0,1,0,0,2,,,,,,,,,,,93,14,16,1,0,0,130,17,81,1,1,0,0,92,2010
C.Williams,00-0023440,no,TB,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,1,45,1,0,0,348,118,181,45,1,0,0,386,2010
M.Williams,00-0027702,no,TB,,,,,,,2,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,226,61,10,1,0,901,,,,,,,,2010
S.Stroughter,00-0026953,no,TB,,,,,,,1,0,1,0,0,,,,,,,,,,27,30,0,2,0,,,,,,,,,,,,,0,0,0,1,0,118,0,23,0,0,0,237,1,2,0,0,0,0,2,2010
J.Stevens,00-0021159,yes,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,3,0,0,0,43,,,,,,,,2010
K.Winslow,00-0022922,no,TB,,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,87,62,5,0,0,696,,,,,,,,2010
M.Spurlock,00-0023968,no,TB,,,,,,,1,1,2,1,0,,,,,,,,,,377,550,89,44,1,2,0,0,0,0,0,0,,,,,,69,112,0,25,0,188,35,17,2,0,0,250,,,,,,,,2010
Q.Black,00-0025455,no,TB,,7,1,1,2,50,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
C.Barth,00-0026138,no,TB,K,,,,,,,,,,,25,23,482,69,33,0,33,0,33,,,,,,,,,,,,,31,1,48,3,117,,,,,,,,,,,,,,,,,,,,2010
C.Bryan,00-0027189,no,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,6,191,21,776,,,,,,,,,,,,,,,,,,,,2010
